KÛd obce,N·zev obce,RegistrovanÌ voliËi,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
575712,StarÈ éd·nice,307,232,232,"18,10 %","0,00 %","0,00 %","6,03 %","0,00 %","4,31 %","8,62 %","0,43 %","1,72 %","1,72 %","0,43 %","0,00 %","10,34 %","0,43 %","2,58 %","28,87 %","0,00 %","0,00 %","5,60 %","0,43 %","0,86 %","0,43 %","9,05 %","0,00 %"
575721,Star˝ Mate¯ov,491,314,312,"13,46 %","0,96 %","0,00 %","9,93 %","0,32 %","1,92 %","9,29 %","0,64 %","0,96 %","1,92 %","0,00 %","0,00 %","5,12 %","0,00 %","3,52 %","36,21 %","0,32 %","0,00 %","1,28 %","0,96 %","0,00 %","0,32 %","12,82 %","0,00 %"
575739,StÈblov·,419,279,278,"14,38 %","1,07 %","0,00 %","7,55 %","0,00 %","4,31 %","1,79 %","1,79 %","1,79 %","1,07 %","0,00 %","0,00 %","11,51 %","0,00 %","3,95 %","41,00 %","0,00 %","0,00 %","3,23 %","0,00 %","0,00 %","0,00 %","6,47 %","0,00 %"
572934,Stojice,183,144,143,"9,79 %","0,00 %","0,00 %","4,89 %","0,00 %","2,09 %","8,39 %","1,39 %","0,69 %","1,39 %","0,00 %","0,00 %","14,68 %","0,00 %","4,89 %","37,06 %","0,00 %","0,00 %","2,79 %","2,09 %","0,69 %","0,69 %","8,39 %","0,00 %"
575755,Straöov,182,109,109,"5,50 %","0,00 %","0,91 %","6,42 %","0,00 %","2,75 %","10,09 %","0,00 %","0,00 %","0,91 %","0,00 %","0,00 %","13,76 %","0,00 %","0,00 %","44,95 %","0,00 %","0,00 %","2,75 %","0,91 %","0,00 %","0,91 %","10,09 %","0,00 %"
575763,SvinËany,262,172,168,"13,69 %","0,00 %","0,00 %","9,52 %","0,00 %","13,69 %","6,54 %","1,78 %","3,57 %","1,78 %","0,00 %","0,59 %","9,52 %","0,00 %","2,38 %","17,85 %","0,00 %","0,00 %","8,92 %","0,00 %","0,00 %","0,00 %","9,52 %","0,59 %"
575771,Svojöice,353,206,206,"9,22 %","0,00 %","0,00 %","4,85 %","0,48 %","2,91 %","8,25 %","1,94 %","0,97 %","0,97 %","0,00 %","0,00 %","11,16 %","0,00 %","4,36 %","36,89 %","0,00 %","0,00 %","7,76 %","0,48 %","0,00 %","0,48 %","9,22 %","0,00 %"
575780,Tetov,207,142,142,"9,15 %","0,00 %","0,00 %","10,56 %","0,00 %","7,04 %","15,49 %","2,11 %","1,40 %","0,70 %","0,00 %","0,00 %","7,74 %","0,00 %","2,11 %","28,16 %","0,00 %","0,70 %","3,52 %","0,00 %","0,00 %","0,00 %","11,26 %","0,00 %"
575810,Trn·vka,141,94,94,"7,44 %","0,00 %","0,00 %","4,25 %","0,00 %","8,51 %","13,82 %","0,00 %","3,19 %","0,00 %","1,06 %","0,00 %","7,44 %","0,00 %","2,12 %","34,04 %","0,00 %","2,12 %","1,06 %","0,00 %","0,00 %","0,00 %","14,89 %","0,00 %"
530794,Trusnov,170,100,100,"1,00 %","0,00 %","0,00 %","2,00 %","0,00 %","23,00 %","16,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,00 %","0,00 %","3,00 %","35,00 %","0,00 %","1,00 %","1,00 %","2,00 %","0,00 %","0,00 %","9,00 %","0,00 %"
575828,T¯ebosice,171,106,106,"5,66 %","0,00 %","0,94 %","8,49 %","0,00 %","2,83 %","8,49 %","0,00 %","0,94 %","0,00 %","0,00 %","0,00 %","5,66 %","0,00 %","0,94 %","51,88 %","0,00 %","0,00 %","1,88 %","0,94 %","0,00 %","2,83 %","8,49 %","0,00 %"
572985,Turkovice,171,115,115,"11,30 %","0,86 %","0,00 %","6,08 %","0,00 %","5,21 %","6,95 %","2,60 %","0,00 %","0,00 %","0,00 %","0,00 %","13,04 %","0,00 %","6,08 %","27,82 %","0,00 %","0,86 %","8,69 %","0,00 %","0,00 %","0,00 %","9,56 %","0,86 %"
575844,Uhersko,223,119,119,"15,96 %","0,00 %","0,00 %","10,08 %","0,00 %","5,04 %","9,24 %","1,68 %","0,00 %","0,00 %","0,00 %","0,00 %","6,72 %","0,00 %","0,84 %","40,33 %","0,00 %","0,00 %","0,00 %","0,84 %","0,00 %","0,00 %","9,24 %","0,00 %"
575879,⁄h¯etick· Lhota,216,146,145,"17,93 %","0,00 %","0,00 %","2,06 %","0,00 %","2,75 %","5,51 %","0,68 %","4,13 %","1,37 %","0,68 %","0,00 %","13,10 %","0,00 %","2,06 %","31,03 %","0,00 %","0,00 %","6,20 %","0,00 %","0,00 %","1,37 %","11,03 %","0,00 %"
575887,⁄jezd u P¯elouËe,218,143,141,"3,54 %","0,00 %","0,00 %","7,80 %","0,00 %","6,38 %","15,60 %","1,41 %","0,00 %","6,38 %","0,00 %","0,70 %","5,67 %","0,00 %","0,70 %","39,71 %","0,00 %","0,00 %","2,12 %","0,00 %","0,00 %","0,00 %","9,92 %","0,00 %"
575909,⁄jezd u Sezemic,148,91,91,"9,89 %","0,00 %","0,00 %","8,79 %","0,00 %","9,89 %","7,69 %","1,09 %","1,09 %","1,09 %","0,00 %","1,09 %","7,69 %","0,00 %","1,09 %","39,56 %","1,09 %","0,00 %","4,39 %","0,00 %","0,00 %","0,00 %","5,49 %","0,00 %"
572888,Urbanice,139,83,83,"4,81 %","2,40 %","0,00 %","7,22 %","1,20 %","1,20 %","3,61 %","0,00 %","1,20 %","0,00 %","0,00 %","0,00 %","14,45 %","0,00 %","7,22 %","40,96 %","0,00 %","0,00 %","3,61 %","0,00 %","0,00 %","0,00 %","12,04 %","0,00 %"
575917,Valy,62,46,46,"15,21 %","0,00 %","0,00 %","10,86 %","0,00 %","4,34 %","6,52 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","17,39 %","0,00 %","2,17 %","28,26 %","0,00 %","2,17 %","0,00 %","0,00 %","0,00 %","0,00 %","13,04 %","0,00 %"
575925,V·pno,397,259,256,"7,03 %","0,00 %","0,00 %","5,85 %","0,00 %","7,03 %","11,71 %","0,39 %","0,78 %","1,95 %","0,00 %","0,00 %","13,67 %","0,00 %","1,95 %","28,90 %","0,78 %","0,00 %","1,95 %","0,78 %","0,78 %","0,00 %","16,40 %","0,00 %"
575933,Veliny,104,57,57,"3,50 %","0,00 %","0,00 %","1,75 %","0,00 %","15,78 %","7,01 %","0,00 %","1,75 %","0,00 %","0,00 %","0,00 %","12,28 %","0,00 %","0,00 %","38,59 %","0,00 %","0,00 %","0,00 %","1,75 %","0,00 %","0,00 %","17,54 %","0,00 %"
575941,VeselÌ,379,231,231,"13,41 %","0,00 %","0,00 %","6,92 %","0,43 %","5,19 %","9,09 %","0,00 %","0,86 %","3,03 %","0,00 %","0,43 %","9,09 %","0,43 %","0,86 %","30,30 %","0,00 %","0,00 %","3,46 %","0,43 %","0,00 %","0,86 %","15,15 %","0,00 %"
575968,VlËÌ Hab¯ina,285,192,190,"8,42 %","0,00 %","0,00 %","5,26 %","0,00 %","13,15 %","7,89 %","0,52 %","1,05 %","3,15 %","0,00 %","0,00 %","10,00 %","0,00 %","4,21 %","33,68 %","0,52 %","0,00 %","0,00 %","1,57 %","0,52 %","0,00 %","9,47 %","0,52 %"
575984,VoleË,252,174,174,"5,17 %","0,00 %","0,00 %","6,32 %","0,00 %","6,32 %","6,32 %","0,57 %","0,57 %","1,14 %","0,00 %","0,57 %","7,47 %","0,57 %","2,29 %","43,10 %","0,00 %","0,00 %","4,02 %","1,14 %","0,00 %","0,00 %","13,79 %","0,57 %"
575992,VysokÈ Chvojno,290,208,206,"7,76 %","0,00 %","0,00 %","4,36 %","0,00 %","7,76 %","5,82 %","0,48 %","1,45 %","0,97 %","0,00 %","0,00 %","12,62 %","0,00 %","2,42 %","36,89 %","0,00 %","0,48 %","7,28 %","0,97 %","0,48 %","0,48 %","9,70 %","0,00 %"
576000,VyöehnÏvice,320,210,208,"10,57 %","0,48 %","0,00 %","8,17 %","0,48 %","3,36 %","6,73 %","1,44 %","1,44 %","2,88 %","0,00 %","0,48 %","12,50 %","0,48 %","3,36 %","30,76 %","0,48 %","0,48 %","3,36 %","0,00 %","0,00 %","0,48 %","12,01 %","0,00 %"
576018,Zdechovice,202,135,133,"16,54 %","0,00 %","0,00 %","3,75 %","0,00 %","8,27 %","3,00 %","3,00 %","0,00 %","2,25 %","0,00 %","0,75 %","6,01 %","0,00 %","6,01 %","29,32 %","0,00 %","1,50 %","4,51 %","0,00 %","0,00 %","0,75 %","13,53 %","0,75 %"
576026,é·ravice,478,283,278,"1,79 %","1,07 %","0,00 %","8,63 %","0,00 %","11,51 %","17,26 %","1,07 %","1,43 %","2,87 %","0,00 %","0,00 %","11,51 %","0,35 %","3,95 %","23,38 %","0,35 %","0,35 %","3,95 %","0,35 %","0,35 %","0,00 %","8,99 %","0,71 %"
576042,éivanice,110,77,75,"0,00 %","0,00 %","0,00 %","6,66 %","0,00 %","1,33 %","2,66 %","0,00 %","0,00 %","9,33 %","0,00 %","0,00 %","6,66 %","0,00 %","2,66 %","56,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","14,66 %","0,00 %"
