KÛd obce,N·zev obce,RegistrovanÌ voliËi,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
575071,Chvaletice,2 464,1 358,1 353,"6,72 %","0,22 %","0,00 %","8,13 %","0,07 %","7,46 %","10,49 %","0,73 %","1,18 %","1,40 %","0,14 %","0,07 %","9,90 %","0,00 %","1,84 %","35,77 %","0,07 %","0,36 %","1,47 %","0,36 %","0,14 %","0,22 %","12,93 %","0,22 %"
575089,Chvojenec,537,329,324,"15,12 %","0,00 %","0,00 %","6,79 %","0,92 %","5,55 %","4,32 %","2,16 %","0,92 %","0,92 %","0,00 %","0,00 %","11,72 %","0,00 %","3,70 %","27,16 %","0,61 %","0,30 %","6,48 %","0,92 %","0,00 %","0,61 %","11,41 %","0,30 %"
575097,Ch˝öù,173,125,124,"5,64 %","0,00 %","0,80 %","7,25 %","0,00 %","3,22 %","8,06 %","2,41 %","2,41 %","3,22 %","0,00 %","0,00 %","7,25 %","0,00 %","1,61 %","24,19 %","0,00 %","0,00 %","4,03 %","0,80 %","0,00 %","0,00 %","29,03 %","0,00 %"
575101,Jankovice,257,170,169,"7,69 %","0,59 %","0,59 %","8,87 %","0,00 %","5,91 %","17,15 %","0,00 %","1,77 %","1,18 %","0,00 %","0,00 %","8,28 %","0,00 %","2,36 %","31,36 %","0,00 %","3,55 %","1,77 %","0,59 %","0,00 %","0,00 %","8,28 %","0,00 %"
575119,Jaroslav,191,139,138,"14,49 %","0,00 %","0,72 %","2,17 %","0,00 %","7,97 %","9,42 %","0,72 %","3,62 %","0,00 %","0,00 %","0,00 %","7,24 %","0,00 %","0,72 %","28,98 %","0,00 %","0,00 %","0,72 %","0,00 %","0,00 %","1,44 %","21,01 %","0,72 %"
575127,Jedousov,133,82,82,"1,21 %","0,00 %","0,00 %","6,09 %","0,00 %","1,21 %","7,31 %","0,00 %","1,21 %","2,43 %","0,00 %","0,00 %","23,17 %","0,00 %","4,87 %","32,92 %","0,00 %","1,21 %","7,31 %","1,21 %","0,00 %","0,00 %","9,75 %","0,00 %"
575135,JenÌkovice,185,125,125,"6,40 %","0,80 %","0,00 %","3,20 %","0,00 %","1,60 %","8,80 %","0,80 %","0,00 %","0,00 %","0,00 %","0,00 %","4,00 %","0,00 %","5,60 %","41,60 %","0,80 %","0,00 %","14,40 %","1,60 %","0,00 %","0,00 %","9,60 %","0,80 %"
575143,Jezbo¯ice,309,223,220,"13,18 %","0,00 %","0,90 %","6,36 %","0,00 %","3,63 %","7,72 %","0,45 %","0,45 %","0,90 %","0,45 %","0,00 %","11,36 %","0,00 %","6,36 %","36,81 %","0,45 %","0,00 %","1,81 %","0,90 %","0,00 %","0,00 %","8,18 %","0,00 %"
575151,Kasalice,152,80,80,"8,75 %","0,00 %","0,00 %","7,50 %","2,50 %","3,75 %","12,50 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","12,50 %","0,00 %","0,00 %","33,75 %","0,00 %","0,00 %","8,75 %","0,00 %","0,00 %","0,00 %","10,00 %","0,00 %"
575178,Kladruby nad Labem,540,320,318,"5,66 %","0,62 %","0,00 %","7,54 %","0,62 %","13,52 %","11,32 %","1,25 %","3,14 %","0,94 %","0,00 %","0,00 %","5,34 %","0,31 %","2,51 %","35,22 %","0,00 %","0,31 %","2,51 %","0,62 %","0,00 %","0,00 %","8,49 %","0,00 %"
575194,Kojice,345,208,206,"9,22 %","0,97 %","0,00 %","6,79 %","0,00 %","4,85 %","9,70 %","0,00 %","0,97 %","0,97 %","0,00 %","0,00 %","8,73 %","0,00 %","2,91 %","38,34 %","0,00 %","0,00 %","0,48 %","0,48 %","0,97 %","0,48 %","13,59 %","0,48 %"
575232,KostÏnice,420,280,280,"13,57 %","0,35 %","0,00 %","6,07 %","0,00 %","7,14 %","5,35 %","1,42 %","0,35 %","3,21 %","0,71 %","0,00 %","9,64 %","0,35 %","5,71 %","33,21 %","0,71 %","0,35 %","6,42 %","0,71 %","0,00 %","0,00 %","4,64 %","0,00 %"
572861,K¯iËeÚ,202,127,125,"12,80 %","0,00 %","0,00 %","12,80 %","0,00 %","2,40 %","8,80 %","0,80 %","1,60 %","1,60 %","0,80 %","0,00 %","12,00 %","0,00 %","5,60 %","25,60 %","0,00 %","0,00 %","3,20 %","0,80 %","0,80 %","0,00 %","10,40 %","0,00 %"
573515,KunÏtice,257,177,177,"11,86 %","0,00 %","0,00 %","2,25 %","0,00 %","7,90 %","6,21 %","0,56 %","1,69 %","2,25 %","0,00 %","1,12 %","10,16 %","0,56 %","3,38 %","20,90 %","0,56 %","0,56 %","10,16 %","1,69 %","0,00 %","0,00 %","18,07 %","0,00 %"
575259,LabskÈ ChrËice,160,106,106,"1,88 %","0,00 %","0,00 %","15,09 %","0,00 %","13,20 %","16,03 %","0,00 %","0,94 %","1,88 %","0,00 %","0,00 %","9,43 %","0,00 %","0,00 %","25,47 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","15,09 %","0,94 %"
572845,L·ny u Daöic,115,82,82,"9,75 %","0,00 %","0,00 %","3,65 %","0,00 %","2,43 %","6,09 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","6,09 %","2,43 %","0,00 %","43,90 %","0,00 %","0,00 %","6,09 %","0,00 %","1,21 %","0,00 %","18,29 %","0,00 %"
574767,L·znÏ BohdaneË,2 928,1 903,1 892,"13,95 %","0,10 %","0,26 %","6,97 %","0,00 %","3,54 %","4,96 %","1,32 %","0,58 %","1,21 %","0,26 %","0,10 %","11,94 %","0,05 %","5,65 %","34,77 %","0,00 %","0,10 %","4,38 %","0,63 %","0,36 %","0,26 %","8,45 %","0,05 %"
575305,Libiöany,421,250,245,"7,34 %","0,00 %","0,00 %","7,75 %","0,40 %","4,08 %","8,16 %","1,22 %","1,63 %","2,04 %","0,40 %","0,00 %","11,42 %","0,00 %","0,81 %","37,55 %","0,40 %","0,00 %","2,44 %","0,40 %","0,40 %","0,40 %","13,06 %","0,00 %"
575313,Lipoltice,327,204,204,"6,37 %","0,00 %","0,00 %","8,33 %","0,00 %","6,86 %","11,27 %","0,00 %","1,47 %","1,47 %","0,00 %","0,00 %","13,23 %","0,49 %","1,96 %","25,00 %","0,00 %","0,00 %","5,39 %","0,98 %","0,00 %","0,00 %","14,70 %","2,45 %"
575330,Litoöice,116,74,70,"7,14 %","0,00 %","0,00 %","2,85 %","0,00 %","4,28 %","15,71 %","2,85 %","1,42 %","0,00 %","0,00 %","0,00 %","8,57 %","1,42 %","4,28 %","38,57 %","0,00 %","0,00 %","2,85 %","0,00 %","0,00 %","0,00 %","10,00 %","0,00 %"
572802,MalÈ V˝kleky,106,77,77,"12,98 %","0,00 %","0,00 %","10,38 %","0,00 %","6,49 %","3,89 %","1,29 %","1,29 %","0,00 %","0,00 %","0,00 %","10,38 %","0,00 %","1,29 %","25,97 %","0,00 %","0,00 %","3,89 %","1,29 %","0,00 %","0,00 %","20,77 %","0,00 %"
575372,Mikulovice,947,630,624,"14,26 %","0,16 %","0,32 %","7,05 %","0,00 %","5,28 %","6,25 %","0,96 %","1,44 %","0,64 %","0,00 %","0,32 %","9,61 %","0,00 %","6,08 %","32,53 %","0,00 %","0,16 %","4,48 %","0,16 %","0,16 %","0,16 %","9,45 %","0,48 %"
575381,MokoöÌn,149,101,101,"4,95 %","0,00 %","0,00 %","11,88 %","0,00 %","5,94 %","3,96 %","0,00 %","0,99 %","2,97 %","0,00 %","0,00 %","5,94 %","0,00 %","5,94 %","37,62 %","0,00 %","0,00 %","1,98 %","0,99 %","0,00 %","0,00 %","16,83 %","0,00 %"
573035,Moraöice,73,45,45,"6,66 %","0,00 %","0,00 %","2,22 %","0,00 %","4,44 %","24,44 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,22 %","0,00 %","0,00 %","48,88 %","0,00 %","0,00 %","4,44 %","0,00 %","0,00 %","0,00 %","6,66 %","0,00 %"
575399,Moravany,1 593,993,984,"7,11 %","0,30 %","0,00 %","8,33 %","0,00 %","3,25 %","9,24 %","1,42 %","0,81 %","1,11 %","0,10 %","0,10 %","10,16 %","0,10 %","3,15 %","38,21 %","0,10 %","0,20 %","5,28 %","0,40 %","0,10 %","0,10 %","9,75 %","0,60 %"
572870,NÏmËice,435,319,319,"18,80 %","0,00 %","0,00 %","5,01 %","0,00 %","4,70 %","2,19 %","1,25 %","0,00 %","0,62 %","0,00 %","0,31 %","15,04 %","0,31 %","9,09 %","21,94 %","0,00 %","0,00 %","11,28 %","0,62 %","0,62 %","0,00 %","7,21 %","0,94 %"
573078,Neratov,132,83,83,"7,22 %","0,00 %","0,00 %","12,04 %","0,00 %","10,84 %","9,63 %","0,00 %","1,20 %","1,20 %","0,00 %","0,00 %","7,22 %","0,00 %","0,00 %","31,32 %","0,00 %","0,00 %","1,20 %","7,22 %","0,00 %","0,00 %","9,63 %","1,20 %"
575429,Opatovice nad Labem,1 950,1 233,1 222,"11,70 %","0,00 %","0,00 %","8,10 %","0,00 %","3,19 %","6,54 %","1,55 %","0,73 %","2,86 %","0,16 %","0,24 %","13,66 %","0,00 %","4,58 %","30,93 %","0,98 %","0,49 %","3,43 %","1,22 %","0,08 %","0,08 %","9,16 %","0,24 %"
575437,Ost¯eöany,833,550,544,"11,39 %","0,00 %","0,55 %","4,77 %","0,00 %","5,69 %","8,27 %","0,55 %","1,28 %","1,10 %","0,00 %","0,55 %","12,31 %","0,00 %","3,86 %","35,29 %","0,00 %","0,00 %","3,67 %","1,65 %","0,36 %","0,00 %","8,45 %","0,18 %"
575445,Ost¯etÌn,763,486,482,"8,71 %","1,65 %","0,00 %","5,60 %","0,00 %","8,09 %","9,75 %","1,45 %","0,82 %","1,24 %","0,00 %","0,00 %","8,50 %","0,20 %","4,56 %","32,98 %","0,00 %","0,00 %","6,22 %","0,82 %","0,00 %","0,41 %","8,29 %","0,62 %"
555134,Plch,69 859,43 794,43 534,"13,37 %","0,12 %","0,16 %","7,29 %","0,05 %","3,53 %","6,61 %","1,57 %","0,51 %","1,96 %","0,07 %","0,21 %","11,41 %","0,08 %","6,16 %","31,31 %","0,14 %","0,17 %","4,95 %","0,85 %","0,19 %","0,19 %","8,60 %","0,36 %"
572942,PobÏûovice u Holic,74,53,53,"3,77 %","0,00 %","0,00 %","5,66 %","0,00 %","7,54 %","3,77 %","0,00 %","1,88 %","0,00 %","0,00 %","0,00 %","11,32 %","0,00 %","1,88 %","37,73 %","0,00 %","1,88 %","7,54 %","0,00 %","0,00 %","0,00 %","16,98 %","0,00 %"
575461,PobÏûovice u P¯elouËe,207,151,151,"11,92 %","0,66 %","0,00 %","5,96 %","0,00 %","3,97 %","5,29 %","0,66 %","0,66 %","1,32 %","0,00 %","0,00 %","7,94 %","0,00 %","5,29 %","38,41 %","0,00 %","0,00 %","3,97 %","2,64 %","1,32 %","0,66 %","9,27 %","0,00 %"
575470,Pod˘löany,78,58,58,"22,41 %","0,00 %","0,00 %","8,62 %","0,00 %","10,34 %","6,89 %","0,00 %","1,72 %","0,00 %","0,00 %","0,00 %","1,72 %","0,00 %","0,00 %","34,48 %","0,00 %","0,00 %","1,72 %","0,00 %","0,00 %","0,00 %","12,06 %","0,00 %"
572951,Pravy,134,94,93,"13,97 %","0,00 %","0,00 %","8,60 %","1,07 %","8,60 %","4,30 %","0,00 %","3,22 %","2,15 %","0,00 %","0,00 %","15,05 %","0,00 %","6,45 %","26,88 %","0,00 %","1,07 %","1,07 %","0,00 %","0,00 %","0,00 %","7,52 %","0,00 %"
572853,P¯elouË,83,50,49,"6,12 %","0,00 %","0,00 %","4,08 %","0,00 %","6,12 %","8,16 %","0,00 %","2,04 %","0,00 %","0,00 %","0,00 %","10,20 %","0,00 %","2,04 %","36,73 %","2,04 %","2,04 %","4,08 %","0,00 %","2,04 %","0,00 %","4,08 %","10,20 %"
575500,P¯elovice,7 203,4 425,4 384,"9,46 %","0,11 %","0,20 %","8,78 %","0,06 %","7,89 %","9,07 %","1,23 %","0,93 %","1,32 %","0,13 %","0,11 %","10,40 %","0,11 %","3,33 %","29,51 %","0,09 %","0,20 %","3,48 %","0,79 %","0,09 %","0,20 %","12,11 %","0,29 %"
575518,P¯epychy,175,119,118,"2,54 %","1,69 %","0,00 %","5,93 %","0,00 %","2,54 %","14,40 %","0,00 %","2,54 %","0,00 %","0,00 %","0,00 %","9,32 %","0,00 %","3,38 %","38,98 %","0,00 %","0,00 %","6,77 %","0,00 %","0,00 %","0,00 %","11,01 %","0,84 %"
575526,R·by,71,61,61,"3,27 %","0,00 %","0,00 %","1,63 %","0,00 %","6,55 %","13,11 %","0,00 %","0,00 %","1,63 %","0,00 %","0,00 %","14,75 %","0,00 %","3,27 %","32,78 %","0,00 %","0,00 %","4,91 %","0,00 %","0,00 %","0,00 %","18,03 %","0,00 %"
